,last_move,predicted_position,target_position,shape,region,color,steps,time,total_steps_taken
46,down right,[9 9],[14 14],Z,bottom right,cyan,20,11.30619192123413,"['down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right']"
47,grip,[ 4 11],[ 4 11],W,left,cyan,9,3.9444808959960938,"['left', 'left down', 'left', 'left', 'left', 'left', 'down', 'down', 'grip']"
48,grip,[ 5 10],[ 5 10],X,left,red,6,2.538713216781616,"['left', 'left', 'left', 'left', 'down', 'grip']"
49,grip,[6 3],[6 3],W,top,red,10,4.265392065048218,"['up', 'up', 'up', 'up', 'left', 'up', 'left', 'up', 'left', 'grip']"
50,up left,[5 9],[2 3],P,top left,yellow,20,10.228418588638306,"['left', 'up left', 'left', 'up left', 'left', 'up left', 'up left', 'up left', 'up left', 'up left', 'up left', 'up left', 'up left', 'up left', 'up left', 'up left', 'up left', 'up left', 'left', 'up left']"
51,grip,[11 13],[11 13],X,bottom,yellow,10,4.516265392303467,"['down', 'down', 'right down', 'right down', 'right down', 'right', 'down', 'down', 'right', 'grip']"
52,left down,[ 6 12],[ 4 14],T,bottom left,magenta,20,10.439716577529907,"['left', 'down', 'left down', 'left', 'down left', 'down left', 'down left', 'down left', 'down', 'left down', 'down left', 'left down', 'left', 'down left', 'down left', 'down left', 'down left', 'down', 'left down', 'left down']"
53,down right,[12  9],[16 16],U,bottom right,green,20,10.439671277999878,"['right down', 'right', 'right', 'right down right', 'right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right']"
54,grip,[6 5],[6 5],X,top,cyan,8,3.386615753173828,"['up', 'up', 'up', 'left', 'left', 'up', 'left', 'grip']"
55,grip,[11  4],[11  4],Z,top,red,8,3.4207684993743896,"['up', 'up', 'up', 'up', 'right', 'right', 'up', 'grip']"
56,grip,[8 6],[8 6],T,center,red,5,2.160822868347168,"['up', 'up', 'up', 'left', 'grip']"
57,grip,[6 4],[6 4],Z,top,red,9,3.766296625137329,"['up', 'up', 'up', 'left', 'up', 'left', 'up', 'left', 'grip']"
58,grip,[ 6 16],[ 6 16],X,bottom,cyan,11,4.607731819152832,"['down', 'down', 'down', 'down', 'down', 'left', 'down', 'left', 'down', 'left', 'grip']"
59,grip,[ 6 15],[ 6 15],P,bottom,yellow,10,4.276525974273682,"['down', 'down', 'down', 'down', 'left', 'down', 'left', 'down', 'left', 'grip']"
60,grip,[ 5 14],[ 5 14],T,bottom left,red,12,5.313467025756836,"['down', 'down', 'down', 'left', 'left', 'left down', 'left down', 'left', 'down', 'left', 'down', 'grip']"
61,grip,[10  6],[10  6],U,center,magenta,5,2.1799933910369873,"['up', 'up', 'up', 'right', 'grip']"
62,grip,[ 2 12],[ 2 12],Z,left,yellow,11,4.556298017501831,"['left', 'left', 'left', 'left', 'left', 'left', 'left', 'down', 'down', 'down', 'grip']"
63,grip,[ 7 14],[ 7 14],U,bottom,cyan,8,3.403266668319702,"['down', 'down', 'down', 'down', 'left', 'down', 'left', 'grip']"
64,grip,[12  2],[12  2],U,top,red,11,4.571604251861572,"['up', 'up', 'up', 'up', 'up', 'up', 'right', 'up', 'right', 'right', 'grip']"
65,grip,[10 14],[10 14],T,bottom,cyan,7,2.977987289428711,"['down', 'down', 'down', 'down', 'down', 'right', 'grip']"
66,grip,[13  9],[13  9],P,right,green,5,2.285064935684204,"['right', 'right', 'right', 'right', 'grip']"
67,grip,[ 7 14],[ 7 14],U,bottom,cyan,8,3.5190072059631348,"['down', 'down', 'down', 'down', 'left', 'down', 'left', 'grip']"
68,down left,[5 9],[ 2 14],W,bottom left,green,20,10.207572221755981,"['left', 'left', 'left', 'down left', 'left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left']"
69,grip,[13  8],[13  8],W,right,red,6,2.561404228210449,"['right', 'right', 'right', 'up', 'right', 'grip']"
70,grip,[16  5],[16  5],W,top right,cyan,13,5.835924386978149,"['right', 'right', 'right', 'right', 'up', 'right', 'up', 'up right', 'up', 'right', 'up', 'right', 'grip']"
71,left,[8 7],[3 2],W,top left,green,20,20.130817413330078,"['up left', 'up left', 'up left', 'up left', 'up left', 'up left', 'up left', 'up left', 'up left', 'up left', 'up left', 'up left', 'up', 'up left', 'up left', 'up', 'up left', 'up left', 'up left', 'left']"
72,grip,[ 5 12],[ 5 12],U,left,red,9,3.912980794906616,"['left down', 'left', 'left', 'left', 'left', 'down', 'down', 'down', 'grip']"
73,grip,[ 9 15],[ 9 15],X,bottom,blue,7,2.941023349761963,"['down', 'down', 'down', 'down', 'down', 'down', 'grip']"
74,grip,[7 9],[7 9],Z,center,red,3,1.3460063934326172,"['left', 'left', 'grip']"
75,grip,[7 9],[7 9],P,center,yellow,3,1.344700574874878,"['left', 'left', 'grip']"
76,down right,[9 9],[15 16],Z,bottom right,cyan,20,10.912861585617065,"['down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right']"
77,grip,[ 9 15],[ 9 15],U,bottom,magenta,7,2.901007652282715,"['down', 'down', 'down', 'down', 'down', 'down', 'grip']"
78,grip,[9 7],[9 7],W,center,cyan,3,1.3135747909545898,"['up', 'up', 'grip']"
79,grip,[10  3],[10  3],T,top,red,8,3.3088934421539307,"['up', 'up', 'up', 'up', 'up', 'up', 'right', 'grip']"
80,grip,[13  6],[13  6],X,right,magenta,8,3.3793163299560547,"['up', 'right', 'up', 'right', 'right', 'right', 'up', 'grip']"
81,grip,[ 4 11],[ 4 11],P,left,yellow,8,3.3726067543029785,"['left', 'left', 'left', 'left', 'left', 'down', 'down', 'grip']"
82,grip,[8 6],[8 6],T,center,green,5,2.11944580078125,"['up', 'up', 'up', 'left', 'grip']"
83,grip,[ 8 13],[ 8 13],P,bottom,blue,6,2.4905991554260254,"['down', 'down', 'down', 'down', 'left', 'grip']"
84,grip,[10 14],[10 14],Z,bottom,blue,7,2.8919200897216797,"['down', 'down', 'down', 'down', 'down', 'right', 'grip']"
85,grip,[10  6],[10  6],W,center,cyan,5,2.113615036010742,"['up', 'up', 'up', 'right', 'grip']"
86,grip,[ 3 12],[ 3 12],X,left,blue,10,4.09434175491333,"['left', 'left', 'left', 'left', 'left', 'down', 'left', 'down', 'down', 'grip']"
87,grip,[11  4],[11  4],P,top,magenta,8,3.3543026447296143,"['up', 'up', 'up', 'right', 'up', 'right', 'up', 'grip']"
88,grip,[ 7 10],[ 7 10],U,center,yellow,4,1.7577908039093018,"['left', 'left', 'down', 'grip']"
89,grip,[ 5 11],[ 5 11],P,left,red,8,3.4898159503936768,"['left down', 'left', 'left', 'left', 'left', 'down', 'down', 'grip']"
90,grip,[ 9 16],[ 9 16],W,bottom,blue,8,3.333686590194702,"['down', 'down', 'down', 'down', 'down', 'down', 'down', 'grip']"
91,grip,[12  3],[12  3],W,top,cyan,10,4.0816802978515625,"['up', 'up', 'up', 'up', 'up', 'right', 'right', 'up', 'right', 'grip']"
92,grip,[11  4],[11  4],W,top,red,8,3.2952616214752197,"['up', 'up', 'up', 'up', 'right', 'up', 'right', 'grip']"
93,grip,[6 7],[6 7],X,center,red,6,2.5279276371002197,"['up', 'left', 'up', 'left', 'left', 'grip']"
94,grip,[ 6 13],[ 6 13],W,bottom,red,8,3.2885098457336426,"['down', 'down', 'left', 'down', 'left', 'left', 'down', 'grip']"
95,grip,[ 4 11],[ 4 11],T,left,yellow,8,3.309828758239746,"['left', 'left', 'left', 'left', 'left', 'down', 'down', 'grip']"
96,grip,[ 3 10],[ 3 10],P,left,magenta,8,3.28470778465271,"['left', 'left', 'left', 'left', 'left', 'left', 'down', 'grip']"
97,down right,[15  9],[16 13],W,bottom right,cyan,20,10.564057111740112,"['right', 'right', 'right', 'right down right', 'right', 'right', 'right down down right', 'down right', 'right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right']"
98,grip,[4 6],[4 6],U,left,red,11,4.804772138595581,"['left', 'up left', 'left', 'left', 'up left', 'up', 'left', 'up', 'up', 'left', 'grip']"
99,grip,[10 11],[10 11],U,center,yellow,4,1.7201550006866455,"['down', 'down', 'right', 'grip']"
100,down left,[5 9],[ 2 15],U,bottom left,yellow,20,10.061222553253174,"['left', 'left', 'left', 'down left', 'down left', 'left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left']"
101,grip,[9 4],[9 4],W,top,green,6,2.4979782104492188,"['up', 'up', 'up', 'up', 'up', 'grip']"
102,right right right right right right right right right right,[11  9],[16 10],P,right,blue,20,27.081873416900635,"['right', 'right right right right right right right right right right', 'right right right right right right right right right right', 'right', 'right right right right right right right right right right', 'right right right right right right right right right right', 'right right right right right right right right right right', 'right right right right right right right right right right', 'right right right right right right right right right right', 'right right right right right right right right right right', 'right right right right right right right right right right', 'right right right right right right right right right right', 'right right right right right right right right right right', 'right right right right right right right right right right', 'right right right right right right right right right right', 'right right right right right right right right right right', 'right right right right right right right right right right', 'right right right right right right right right right right', 'right right right right right right right right right right', 'right right right right right right right right right right']"
103,grip,[10 15],[10 15],W,bottom,blue,8,3.306891441345215,"['down', 'down', 'down', 'down', 'down', 'down', 'right', 'grip']"
104,grip,[10  2],[10  2],P,top,green,9,3.6853253841400146,"['up', 'up', 'up', 'up', 'up', 'up', 'right', 'up', 'grip']"
105,grip,[ 2 10],[ 2 10],W,left,cyan,9,3.731912612915039,"['left', 'left', 'left', 'left', 'left', 'left', 'left', 'down', 'grip']"
106,grip,[15  2],[15  2],T,top right,blue,14,5.723748445510864,"['right', 'up', 'right', 'up', 'right', 'right', 'up', 'up', 'up', 'up', 'right', 'right', 'up', 'grip']"
107,grip,[ 6 16],[ 6 16],U,bottom,yellow,11,4.5085694789886475,"['down', 'down', 'down', 'down', 'down', 'left', 'left', 'down', 'left', 'down', 'grip']"
108,grip,[12 12],[12 12],W,center,blue,7,2.8931872844696045,"['right', 'down', 'right', 'down', 'down', 'right', 'grip']"
109,grip,[8 3],[8 3],Z,top,red,8,3.2917838096618652,"['up', 'up', 'up', 'up', 'up', 'up', 'left', 'grip']"
110,grip,[8 3],[8 3],U,top,blue,8,3.278937339782715,"['up', 'up', 'up', 'up', 'up', 'up', 'left', 'grip']"
111,grip,[11 13],[11 13],T,bottom,yellow,11,4.993517875671387,"['down', 'down', 'right down', 'right down', 'right down', 'right', 'right down', 'down', 'right', 'down', 'grip']"
112,grip,[13 11],[13 11],T,right,magenta,7,2.8863778114318848,"['right', 'right', 'right', 'right', 'down', 'down', 'grip']"
113,grip,[13 11],[13 11],X,right,red,9,4.071991920471191,"['right', 'right', 'right down right', 'right down', 'right', 'right', 'down', 'down', 'grip']"
114,grip,[ 6 14],[ 6 14],U,bottom,blue,9,3.6739187240600586,"['down', 'down', 'down', 'down', 'left', 'left', 'down', 'left', 'grip']"
115,down right,[13  9],[16 14],X,bottom right,green,20,10.246134519577026,"['right', 'right', 'right', 'right down', 'right down right', 'right down', 'right down', 'down right', 'right down right', 'down right', 'right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'right down', 'down right', 'down right']"
116,grip,[ 6 15],[ 6 15],U,bottom,green,10,4.075089693069458,"['down', 'down', 'down', 'down', 'down', 'left', 'left', 'down', 'left', 'grip']"
117,grip,[ 9 11],[ 9 11],W,center,red,3,1.3138959407806396,"['down', 'down', 'grip']"
118,grip,[11  8],[11  8],X,center,yellow,4,1.7075483798980713,"['up', 'right', 'right', 'grip']"
119,down right,[11  9],[16 16],P,bottom right,blue,20,10.459013938903809,"['down right', 'down right', 'down right', 'down right', 'down right', 'right', 'right down', 'down right', 'down right', 'down right', 'down right', 'down right', 'right down', 'right down', 'down right', 'right', 'down right', 'down right', 'down right', 'down right']"
120,up left,[6 9],[2 2],U,top left,cyan,20,10.531129837036133,"['left', 'up left', 'left', 'up left', 'up left', 'up left', 'up left', 'up left', 'up left', 'up left', 'left', 'up left', 'up left', 'up left', 'up left', 'up left', 'up left', 'up left', 'up left', 'up left']"
121,grip,[ 9 12],[ 9 12],X,center,red,4,1.695023775100708,"['down', 'down', 'down', 'grip']"
122,grip,[8 6],[8 6],Z,center,yellow,5,2.091554641723633,"['up', 'up', 'up', 'left', 'grip']"
123,grip,[3 6],[3 6],W,left,red,10,4.047524452209473,"['left', 'left', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'grip']"
124,grip,[ 8 13],[ 8 13],Z,bottom,yellow,6,2.487323045730591,"['down', 'down', 'down', 'down', 'left', 'grip']"
125,down left,[4 9],[ 2 15],P,bottom left,red,20,9.841218948364258,"['left', 'left', 'left down', 'down left', 'left', 'left', 'down left', 'down left', 'left down', 'down left', 'down left', 'left down', 'left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left']"
126,grip,[9 3],[9 3],W,top,yellow,7,2.9257335662841797,"['up', 'up', 'up', 'up', 'up', 'up', 'grip']"
127,grip,[4 7],[4 7],T,left,green,8,3.2782366275787354,"['up', 'up', 'left', 'left', 'left', 'left', 'left', 'grip']"
128,grip,[11 10],[11 10],X,center,red,4,1.704683542251587,"['right', 'down', 'right', 'grip']"
129,grip,[2 7],[2 7],U,left,blue,10,4.067483425140381,"['left', 'left', 'left', 'left', 'left', 'left', 'up', 'up', 'left', 'grip']"
130,down left,[ 5 10],[ 2 15],U,bottom left,red,20,9.829337358474731,"['left', 'left', 'left', 'left', 'down left', 'down', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left']"
131,grip,[ 7 14],[ 7 14],Z,bottom,blue,8,3.2728989124298096,"['down', 'down', 'down', 'down', 'left', 'down', 'left', 'grip']"
132,grip,[11 10],[11 10],U,center,magenta,4,1.6996431350708008,"['right', 'down', 'right', 'grip']"
133,left down,[8 9],[ 4 14],Z,bottom left,red,20,10.401912689208984,"['left down', 'left down', 'left down', 'left down', 'left down', 'left down', 'left down', 'left down', 'left down', 'left down', 'left down', 'down left', 'left down', 'left down', 'left down', 'left down', 'left down', 'left', 'left down', 'left down']"
134,grip,[12  8],[12  8],W,center,blue,5,2.0977935791015625,"['up', 'right', 'right', 'right', 'grip']"
135,down right,[9 9],[15 16],T,bottom right,magenta,20,10.905409812927246,"['down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right']"
136,grip,[5 4],[5 4],W,top left,magenta,11,4.8050618171691895,"['up', 'up', 'left', 'up', 'left', 'up', 'left', 'up left', 'left', 'up', 'grip']"
137,grip,[16  9],[16  9],P,right,magenta,11,7.6339476108551025,"['right', 'right', 'right', 'right right right right right right right right right right', 'right right right right right right right right right right', 'right', 'right', 'right right right right right right right right right right', 'right', 'right', 'grip']"
138,grip,[ 8 13],[ 8 13],X,bottom,magenta,6,2.4834375381469727,"['down', 'down', 'down', 'down', 'left', 'grip']"
139,grip,[9 7],[9 7],W,center,yellow,3,1.312161922454834,"['up', 'up', 'grip']"
140,down right,[12 11],[14 14],W,bottom right,blue,20,9.829339742660522,"['right', 'down right', 'right', 'down right', 'down', 'down', 'down right', 'down right', 'right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right']"
141,grip,[6 3],[6 3],U,top,cyan,10,4.052507162094116,"['up', 'up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'grip']"
142,grip,[12  2],[12  2],X,top,cyan,11,4.444849967956543,"['up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'up', 'right', 'grip']"
143,grip,[2 2],[2 2],X,top left,red,19,8.125493049621582,"['left', 'left', 'up', 'up left', 'up', 'left', 'up', 'up', 'left', 'up left', 'up left', 'up left', 'up', 'up', 'left', 'up', 'left', 'left', 'grip']"
144,grip,[6 3],[6 3],W,top,yellow,10,4.0657737255096436,"['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'left', 'grip']"
145,grip,[ 3 10],[ 3 10],Z,left,green,8,3.275818109512329,"['left', 'left', 'left', 'left', 'left', 'left', 'down', 'grip']"
146,grip,[8 9],[8 9],P,center,red,2,0.9178929328918457,"['left', 'grip']"
147,grip,[ 7 10],[ 7 10],U,center,red,4,1.7043530941009521,"['left', 'down', 'left', 'grip']"
148,grip,[ 8 13],[ 8 13],T,bottom,cyan,6,2.48726749420166,"['down', 'down', 'down', 'down', 'left', 'grip']"
149,grip,[10  6],[10  6],X,center,yellow,5,2.098020315170288,"['up', 'up', 'up', 'right', 'grip']"
150,grip,[4 6],[4 6],T,left,green,9,3.669619083404541,"['up', 'up', 'left', 'left', 'up', 'left', 'left', 'left', 'grip']"
151,grip,[11  9],[11  9],W,center,green,3,1.3132801055908203,"['right', 'right', 'grip']"
152,grip,[9 4],[9 4],Z,top,red,6,2.4911439418792725,"['up', 'up', 'up', 'up', 'up', 'grip']"
153,grip,[3 6],[3 6],W,left,yellow,17,7.743823528289795,"['left', 'up left', 'left', 'left', 'up left', 'up left', 'up left', 'up left', 'left', 'up', 'up left', 'up', 'left', 'up left', 'up', 'left', 'grip']"
154,left,[ 6 11],[ 5 13],P,bottom left,red,20,9.822553873062134,"['down', 'down left', 'left down', 'left down', 'left down', 'down left', 'left', 'down', 'left', 'left down', 'left down', 'left down', 'left down', 'down left', 'down left', 'down left', 'down left', 'left down', 'left down', 'left']"
155,grip,[11  4],[11  4],T,top,cyan,8,3.2756874561309814,"['up', 'up', 'up', 'up', 'right', 'right', 'up', 'grip']"
156,grip,[10 11],[10 11],Z,center,red,4,1.7039029598236084,"['down', 'right', 'down', 'grip']"
157,grip,[12  5],[12  5],Z,top,green,8,3.2765636444091797,"['up', 'up', 'up', 'right', 'right', 'up', 'right', 'grip']"
158,left down,[ 6 13],[ 3 16],X,bottom left,red,20,9.55803370475769,"['down left', 'down', 'down', 'down', 'down', 'left', 'left', 'left down', 'left', 'down left', 'down left', 'left down', 'down left', 'left down', 'down left', 'down left', 'left down', 'down left', 'down left', 'left down']"
159,down right,[11 11],[14 16],X,bottom right,red,20,9.987025499343872,"['right', 'down right', 'down', 'down', 'down right', 'down right', 'right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right']"
160,grip,[6 8],[6 8],T,center,green,5,2.099210500717163,"['up', 'left', 'left', 'left', 'grip']"
161,grip,[13  8],[13  8],P,right,red,6,2.495267629623413,"['right', 'right', 'right', 'right', 'up', 'grip']"
162,right down,[12 12],[13 13],U,bottom right,yellow,20,10.754227876663208,"['right', 'right down', 'right down', 'right', 'right down', 'right down', 'right', 'down', 'down right', 'down right', 'down', 'down right', 'down right', 'down right', 'down right', 'down right', 'down', 'right down down right right down right down right down', 'right down right', 'right down']"
163,grip,[9 4],[9 4],U,top,green,6,2.4879841804504395,"['up', 'up', 'up', 'up', 'up', 'grip']"
164,grip,[6 4],[6 4],P,top,green,9,3.6767327785491943,"['up', 'up', 'up', 'up', 'left', 'up', 'left', 'left', 'grip']"
165,grip,[11  7],[11  7],Z,center,blue,5,2.09623122215271,"['up', 'up', 'right', 'right', 'grip']"
166,grip,[ 8 16],[ 8 16],T,bottom,yellow,9,3.668391704559326,"['down', 'down', 'down', 'down', 'down', 'down', 'down', 'left', 'grip']"
167,grip,[7 7],[7 7],P,center,cyan,5,2.0911753177642822,"['up', 'left', 'up', 'left', 'grip']"
168,grip,[6 7],[6 7],T,center,magenta,6,2.4813554286956787,"['up', 'left', 'left', 'up', 'left', 'grip']"
