,last_move,predicted_position,target_position,shape,region,color,steps,time,total_steps_taken
13,up,[ 6 -8],[4 4],U,top left,magenta,20,43.20303964614868,"['up', 'up', 'up', 'up', 'up', 'up', 'up', 'left', 'up', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'left', 'up', 'up', 'up']"
14,down,[ 9 29],[11 13],W,bottom,cyan,20,34.192737340927124,"['down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down']"
15,up,[  9 -10],[8 5],U,top,blue,20,45.457412004470825,"['up', 'up', 'up', 'up', 'up', 'grip.', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']"
16,grip,[10 10],[ 9 11],T,center,blue,4,5.1126389503479,"['down', 'grip.', 'right', 'grip']"
17,grip,[9 9],[8 9],U,center,yellow,3,3.164660930633545,"['grip.', 'grip.', 'grip']"
18,right.,[24  9],[15 10],X,right,magenta,20,34.08909559249878,"['right.', 'right', 'right.', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right.', 'right', 'right', 'right.', 'right', 'right', 'right', 'right', 'right', 'right.']"
19,left,[-6 14],[ 2 13],W,bottom left,blue,20,41.775958776474,"['left', 'down', 'left', 'left', 'left', 'down', 'left', 'down', 'down', 'left', 'left', 'down', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left']"
20,grip,[9 9],[12  7],W,center,red,4,5.104962348937988,"['grip.', 'grip.', 'grip.', 'grip']"
21,down,[ 9 29],[ 6 16],T,bottom,magenta,20,41.363173961639404,"['down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down']"
22,down.,[ 9 28],[10 14],W,bottom,green,20,33.064288854599,"['down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down.']"
23,left,[-7  9],[4 9],W,left,red,20,45.252113342285156,"['left', 'left', 'left', 'left.', 'left.', 'left', 'left', 'grip.', 'left', 'left', 'grip.', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left']"
24,down,[ 9 29],[ 7 15],W,bottom,red,20,47.7115113735199,"['down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down']"
25,down,[ 9 29],[ 8 13],T,bottom,blue,20,34.39910840988159,"['down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down']"
26,right,[21  1],[15  5],U,top right,red,20,31.121275663375854,"['right', 'right', 'right', 'up', 'right', 'right', 'up', 'right', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'right']"
27,right,[18  2],[15  5],P,top right,red,20,39.72116303443909,"['right.', 'up', 'right', 'right', 'up', 'right', 'up', 'right.', 'up', 'up', 'right', 'up', 'up', 'right.', 'right', 'right', 'right', 'right', 'right.', 'right']"
28,down,[ 9 29],[ 7 13],Z,bottom,yellow,20,41.56420660018921,"['down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down']"
29,left.,[-9  9],[4 6],Z,left,green,20,42.48881554603577,"['left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left.', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left.']"
30,right,[19  2],[15  5],P,top right,red,20,36.239336013793945,"['up', 'right.', 'up', 'up', 'right', 'up', 'right', 'up', 'right', 'up', 'right', 'right', 'right', 'right', 'right', 'right.', 'up', 'right.', 'right', 'right']"
31,down,[ 0 20],[ 5 13],P,bottom left,magenta,20,43.820942401885986,"['left', 'left', 'down', 'down', 'down', 'left', 'down', 'down', 'left', 'left', 'left', 'down', 'down', 'left', 'left', 'left', 'down', 'down', 'down', 'down']"
32,right.,[22  9],[14 10],Z,right,green,20,35.11206817626953,"['right', 'right', 'right.', 'right', 'right', 'right.', 'right', 'right.', 'right', 'right.', 'right.', 'right', 'right', 'right', 'right', 'right.', 'right', 'right', 'right', 'right.']"
33,right.,[24  9],[13 11],U,right,yellow,20,34.605544090270996,"['right', 'right', 'right.', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right.', 'right', 'right.', 'right', 'right', 'right.', 'right', 'right', 'right', 'right.']"
34,up,[  9 -10],[6 3],T,top,green,20,31.18362808227539,"['up', 'up', 'up', 'up', 'up', 'up', 'up.', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']"
35,grip,[13 10],[ 9 12],Z,center,cyan,10,20.81755256652832,"['right', 'right', 'grip.', 'grip.', 'down', 'right', 'grip.', 'right', 'down.', 'grip']"
36,grip,[9 9],[12 11],W,center,red,3,17.705398559570312,"['grip.', 'grip.', 'grip']"
37,grip,[ 9 10],[ 8 12],W,center,red,6,14.73652720451355,"['grip.', 'grip.', 'grip.', 'grip.', 'down', 'grip']"
38,down,[ 9 29],[ 9 16],W,bottom,cyan,20,48.53171944618225,"['down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down']"
39,down,[ 9 29],[ 6 16],T,bottom,red,20,34.189833879470825,"['down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down']"
40,grip,[9 8],[8 6],U,center,cyan,2,3.6104955673217773,"['up', 'grip']"
41,up,[  9 -10],[8 3],U,top,red,20,48.59459733963013,"['up', 'up', 'up', 'up', 'up', 'up', 'grip.', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']"
42,up,[ 10 -10],[9 4],W,top,blue,20,46.6898832321167,"['up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']"
43,grip,[9 9],[9 7],X,center,magenta,2,6.722307443618774,"['grip.', 'grip']"
44,grip,[9 9],[6 7],P,center,red,1,3.090529441833496,['grip']
45,grip,[9 4],[7 5],W,top,cyan,7,12.925687313079834,"['up', 'up', 'up', 'up', 'up', 'grip.', 'grip']"
46,right.,[19 13],[14 14],Z,bottom right,cyan,20,39.584258794784546,"['right', 'right', 'down', 'right', 'right.', 'right.', 'right.', 'right.', 'right', 'right.', 'down', 'right', 'down', 'right', 'right', 'down', 'right', 'right', 'right', 'right.']"
47,left,[-8  9],[ 4 11],W,left,cyan,20,35.52549648284912,"['left', 'left', 'left', 'left', 'left', 'left.', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left.', 'left', 'left.', 'left', 'left']"
48,left,[-7  9],[ 5 10],X,left,red,20,50.51599860191345,"['left', 'left.', 'left', 'left', 'left', 'left', 'left', 'left', 'left.', 'left', 'left', 'left.', 'left.', 'left', 'left', 'left', 'left', 'left', 'left', 'left']"
49,up,[  9 -11],[6 3],W,top,red,20,50.331724643707275,"['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']"
50,up,[  9 -11],[2 3],P,top left,yellow,20,54.66541790962219,"['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']"
51,down,[ 9 29],[11 13],X,bottom,yellow,20,32.04559850692749,"['down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down']"
52,down,[ 6 26],[ 4 14],T,bottom left,magenta,20,35.5489706993103,"['left', 'down', 'down', 'down', 'left', 'down', 'down', 'down', 'down', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down']"
53,down,[12 26],[16 16],U,bottom right,green,20,39.901073694229126,"['right', 'down', 'right', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'right', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down']"
54,grip,[9 1],[6 5],X,top,cyan,9,24.113012075424194,"['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'grip']"
55,grip,[9 5],[11  4],Z,top,red,5,10.074427366256714,"['up', 'up', 'up', 'up', 'grip']"
56,grip,[11  5],[8 6],T,center,red,12,20.876917123794556,"['up', 'right', 'up', 'grip.', 'up', 'up', 'right.', 'right.', 'grip.', 'grip.', 'right', 'grip']"
57,grip,[9 3],[6 4],Z,top,red,7,15.145702362060547,"['up', 'up', 'up', 'up', 'up', 'up', 'grip']"
58,down,[ 9 28],[ 6 16],X,bottom,cyan,20,40.84883117675781,"['down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down.', 'down', 'down', 'down', 'down']"
59,grip,[ 9 18],[ 6 15],P,bottom,yellow,10,17.40092396736145,"['down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'grip']"
60,down,[ 6 26],[ 5 14],T,bottom left,red,20,42.28321647644043,"['down', 'down', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'left', 'down', 'down', 'down', 'down', 'down', 'left', 'down', 'down', 'down']"
61,grip,[9 9],[10  6],U,center,magenta,1,1.319993495941162,['grip']
62,grip,[0 9],[ 2 12],Z,left,yellow,14,30.301578044891357,"['left.', 'left', 'left.', 'left', 'left', 'left.', 'left', 'left', 'left', 'left.', 'left', 'left', 'left', 'grip']"
63,down,[ 9 28],[ 7 14],U,bottom,cyan,20,50.88659334182739,"['down.', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down']"
64,up,[  9 -11],[12  2],U,top,red,20,44.25427603721619,"['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']"
65,down,[ 9 28],[10 14],T,bottom,cyan,20,40.35163235664368,"['down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down.', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down']"
66,right.,[27  9],[13  9],P,right,green,20,42.47192335128784,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right.', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right.']"
67,down,[ 9 28],[ 7 14],U,bottom,cyan,20,59.3827702999115,"['down', 'down', 'down', 'down', 'down', 'down', 'down', 'down.', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down']"
68,down,[ 4 22],[ 2 14],W,bottom left,green,20,43.512298583984375,"['down', 'down', 'down.', 'down', 'down', 'down', 'left.', 'left', 'left', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'left', 'down', 'left', 'down']"
69,right,[27  9],[13  8],W,right,red,20,44.03048396110535,"['right', 'right', 'right', 'right.', 'right', 'right', 'right', 'right', 'right.', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
70,right,[22  5],[16  5],W,top right,cyan,20,39.75706887245178,"['right', 'right', 'up', 'up', 'right', 'right', 'right', 'right', 'up', 'right', 'right.', 'right.', 'right', 'right', 'up', 'right', 'right.', 'right', 'right', 'right']"
71,up,[  8 -10],[3 2],W,top left,green,20,41.727670431137085,"['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']"
72,left,[-10   9],[ 5 12],U,left,red,20,38.18702292442322,"['left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left.', 'left', 'left', 'left', 'left']"
73,down,[ 9 29],[ 9 15],X,bottom,blue,20,46.77220106124878,"['down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down']"
74,grip,[9 9],[7 9],Z,center,red,3,3.4878439903259277,"['grip.', 'grip.', 'grip']"
75,grip,[9 9],[7 9],P,center,yellow,2,2.961707353591919,"['grip.', 'grip']"
76,right,[15 22],[15 16],Z,bottom right,cyan,20,35.3181688785553,"['down', 'down', 'down', 'down', 'right', 'right', 'down', 'down', 'right.', 'right', 'down', 'down', 'right', 'down', 'down', 'down', 'down', 'down', 'right', 'right']"
77,down,[ 9 28],[ 9 15],U,bottom,magenta,20,39.722212076187134,"['down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down.', 'down', 'down', 'down', 'down', 'down', 'down']"
78,grip,[9 9],[9 7],W,center,cyan,9,19.615400314331055,"['grip.', 'grip.', 'grip.', 'grip.', 'grip.', 'grip.', 'grip.', 'grip.', 'grip']"
79,grip,[9 2],[10  3],T,top,red,8,14.261366367340088,"['up', 'up', 'up', 'up', 'up', 'up', 'up', 'grip']"
80,right.,[21  9],[13  6],X,right,magenta,20,41.15313959121704,"['right.', 'right', 'right', 'right', 'right', 'right.', 'right', 'right', 'right', 'right', 'right', 'right.', 'right.', 'right', 'right', 'right', 'right.', 'right.', 'right.', 'right.']"
81,left,[-10   9],[ 4 11],P,left,yellow,20,43.10369110107422,"['left', 'left', 'left', 'left', 'left', 'left', 'left.', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left']"
82,grip,[10  8],[8 6],T,center,green,19,38.800663471221924,"['up', 'down', 'up', 'grip.', 'grip.', 'down', 'up', 'grip.', 'grip.', 'grip.', 'down', 'up', 'down', 'grip.', 'up', 'down', 'up', 'right', 'grip']"
83,down,[ 9 28],[ 8 13],P,bottom,blue,20,41.97457933425903,"['down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down.', 'down', 'down']"
84,down,[ 9 29],[10 14],Z,bottom,blue,20,29.58432626724243,"['down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down']"
85,grip,[9 6],[10  6],W,center,cyan,10,19.54608464241028,"['grip.', 'right.', 'grip.', 'grip.', 'up', 'grip.', 'grip.', 'up', 'up', 'grip']"
86,left,[-9  9],[ 3 12],X,left,blue,20,49.244139671325684,"['left', 'left', 'left', 'left', 'left', 'left.', 'left', 'left', 'left.', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left']"
87,up,[  9 -11],[11  4],P,top,magenta,20,33.22428894042969,"['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']"
88,grip,[9 9],[ 7 10],U,center,yellow,14,28.814378023147583,"['grip.', 'grip.', 'grip.', 'grip.', 'grip.', 'grip.', 'grip.', 'grip.', 'grip.', 'grip.', 'grip.', 'grip.', 'grip.', 'grip']"
89,left,[-9  9],[ 5 11],P,left,red,20,43.5785448551178,"['left', 'left', 'grip.', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left.', 'left', 'left', 'left', 'left', 'left', 'left']"
